,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
95,https://www.acnc.gov.au/charity/charities/7b287367-39af-e811-a963-000d3ad24077/profile,Old Bonalbo Soldiers Memorial Hall Association Inc,Oid Bonalbo,NSW,Registered,Small,30837014637,,,
96,https://www.acnc.gov.au/charity/charities/da52387a-39af-e811-a963-000d3ad24077/profile,Murraylands Baptist Church,Murray Bridge,SA,Registered,Small,58168092565,,,
97,https://www.acnc.gov.au/charity/charities/4c4e387a-39af-e811-a963-000d3ad24077/profile,Yankalilla District Inter-Church Council Incorporated,Yankalilla,SA,Registered,Small,42789451605,,,
98,https://www.acnc.gov.au/charity/charities/c169dc73-39af-e811-a963-000d3ad24077/profile,The Presbytery Of The Central Coast,Unavailable,Unavailable,Registered,Small,72274550269,,,
99,https://www.acnc.gov.au/charity/charities/4f1c1149-39af-e811-a963-000d3ad24077/profile,Aegis Common Equity Rentalhousing Cooperative Ltd,Unavailable,Unavailable,Registered,Small,18247586487,,,
100,https://www.acnc.gov.au/charity/charities/2ff81843-39af-e811-a963-000d3ad24077/profile,Padthaway Uniting Church,Unavailable,Unavailable,Registered,Small,36351478248,,,
101,https://www.acnc.gov.au/charity/charities/df1db230-39af-e811-a963-000d3ad24077/profile,Kalamunda Men's Shed Inc,Lesmurdie,WA,Registered,Small,76391304870,,,
102,https://www.acnc.gov.au/charity/charities/19f31843-39af-e811-a963-000d3ad24077/profile,Campbelltown Uniting Church,Campbelltown,SA,Registered,Small,57573976168,,,
103,https://www.acnc.gov.au/charity/charities/f1f81843-39af-e811-a963-000d3ad24077/profile,The Trustee For The Francis Forbes Fund,Sydney,NSW,Registered,Small,36356298936,,,
104,https://www.acnc.gov.au/charity/charities/a4eb1843-39af-e811-a963-000d3ad24077/profile,Wickham Community Association Inc,Unavailable,Unavailable,Registered,Small,47424278289,,,
105,https://www.acnc.gov.au/charity/charities/fdf41843-39af-e811-a963-000d3ad24077/profile,The Trustee For Donaldson Conservation Trust,Black Hill,NSW,Registered,Small,89139884622,,,
106,https://www.acnc.gov.au/charity/charities/d0131149-39af-e811-a963-000d3ad24077/profile,Australian Hindu Multiculturalassociation,Marsden Park,NSW,Registered,Small,42063175904,,,
107,https://www.acnc.gov.au/charity/charities/27f71843-39af-e811-a963-000d3ad24077/profile,Northlakes Public School P&C Associon,San Remo,NSW,Registered,Small,36570799632,,,
108,https://www.acnc.gov.au/charity/charities/e48e203d-39af-e811-a963-000d3ad24077/profile,Toodyay Friends Of The River Inc,Toodyay,WA,Registered,Small,84891011078,,,
